"JavaScript权威指南","弗拉纳根","994","8.9","http://book.douban.com/subject/2208603/"
"鸟哥的Linux私房菜.基础学习篇（第三版）","鸟哥","778","9.2","http://book.douban.com/subject/4889838/"
"可能与不可能的边界","[美] Lance Fortnow","160","7.6","http://book.douban.com/subject/25779326/"
"SQL Server 2008查询性能优化","(美)弗里奇//达姆|译者","444","7.4","http://book.douban.com/subject/4935284/"
"软件架构师应该知道的97件事","Richard Monson-Haefel 编","9787121106354","7.5","http://book.douban.com/subject/4745287/"
"无线网络安全攻防实战","杨哲","404","7.2","http://book.douban.com/subject/3265692/"
"测试驱动的面向对象软件开发","Steve Freeman","253","7.8","http://book.douban.com/subject/4910582/"
"程序员的自我修养","俞甲子","459","8.7","http://book.douban.com/subject/3652388/"
"Effective MySQL之SQL语句最优化","(美) 布拉德福(Bradford，R. )","201","6.9","http://book.douban.com/subject/20438822/"
"Windows应用程序捆绑核心编程","张正秋","359","7.6","http://book.douban.com/subject/1957558/"
"程序员的思维修炼","Andy Hunt","213","8.4","http://book.douban.com/subject/5372651/"
"Web前端黑客技术揭秘","钟晨鸣","361","7.9","http://book.douban.com/subject/20451827/"
"黑客攻防技术宝典","Chris Anley","545","8.2","http://book.douban.com/subject/4225167/"
"敏捷软件开发","Robert C. Martin","476","9.1","http://book.douban.com/subject/1140457/"
"Python UNIX 和Linux 系统管理指南","基弗特 (Gift, Noab)","417","7.6","http://book.douban.com/subject/4031965/"
"卓越程序员密码","[美] Ka Wai Cheung","158","7.4","http://book.douban.com/subject/20256291/"
"迷茫的旅行商","[美] William J. Cook","256","8.1","http://book.douban.com/subject/25713498/"
"深入学习MongoDB","Kristina Chodorow","121","7.4","http://book.douban.com/subject/10439364/"
"我编程，我快乐","[美] Chad Fowler","202","8.0","http://book.douban.com/subject/4923179/"
"C#高效编程","（美）瓦格纳　著","280","8.8","http://book.douban.com/subject/5360961/"
"第二基地","[美] 艾萨克·阿西莫夫","298","9.3","http://book.douban.com/subject/1258489/"
"基地与帝国","[美] 艾萨克·阿西莫夫","325","9.2","http://book.douban.com/subject/1258491/"
"基地","[美] 艾萨克·阿西莫夫","322","9.3","http://book.douban.com/subject/1258490/"
"怦然心动","","216","8.1","http://book.douban.com/subject/10540744/"
"Facebook效应","[美] 大卫·柯克帕特里克","312","7.9","http://book.douban.com/subject/5313010/"
"大话云计算","郎为民","280","5.4","http://book.douban.com/subject/7058781/"
"程序员修炼之道","Josh Carter","212","6.3","http://book.douban.com/subject/21323647/"
"侠客行","金庸","834","7.4","http://book.douban.com/subject/1789842/"
"实现模式","Kent Beck","176","","http://book.douban.com/subject/20415000/"
"互联网之达芬奇密码","Mull He","211","7.2","http://book.douban.com/subject/6429783/"
"原型设计","[美] Todd Zaki Warfel","220","6.7","http://book.douban.com/subject/20516991/"
"软件随想录","Joel Spolsky","292","8.7","http://book.douban.com/subject/4163938/"
"硝烟中的Scrum和XP","克里伯格","166","8.6","http://book.douban.com/subject/5501718/"
"Redis入门指南","李子骅","182","8.2","http://book.douban.com/subject/24522045/"
"重构","Martin Fowler","9787115221704","9.1","http://book.douban.com/subject/4262627/"
"源码中国","[瑞士] 埃尔钦汗","230","7.0","http://book.douban.com/subject/5299259/"
"远大前程","Sam Lightstone","340","7.8","http://book.douban.com/subject/7155000/"
"PHP基础教程（第4版）","Larry Ullman","405","8.0","http://book.douban.com/subject/6823545/"
"自然语言处理简明教程","冯志伟","940","7.8","http://book.douban.com/subject/20256540/"
"编写可维护的JavaScript","扎卡斯","226","8.1","http://book.douban.com/subject/21792530/"
"Excel 2010操作与技巧","王建发","401","8.6","http://book.douban.com/subject/5380977/"
"软件项目成功之道","(美)理查森//格沃特尼|译者","181","8.2","http://book.douban.com/subject/6748308/"
"淘宝创业内幕","周俊宏","159","","http://book.douban.com/subject/10829069/"
"JavaScript语言精粹","Douglas Crockford","155","9.1","http://book.douban.com/subject/3590768/"
"保时捷传奇","林裕苍","306","","http://book.douban.com/subject/10617690/"
"Scrum敏捷产品管理","罗曼·皮希勒","256","7.3","http://book.douban.com/subject/20561301/"
"高扩展性网站的50条原则","[美] Martin L. Abbott","239","7.3","http://book.douban.com/subject/10756899/"
"BackTrack4","Shakeel Ali","264","6.8","http://book.douban.com/subject/10071963/"
"这样投资更幸福","田仁灿，顾冰","226","6.8","http://book.douban.com/subject/6345048/"
"大道至简","周爱民","168","7.4","http://book.douban.com/subject/2046281/"
"腾讯创业内幕","周义博","197","","http://book.douban.com/subject/10829065/"
"每天读点理财常识","代犟 编","242","","http://book.douban.com/subject/5404682/"
"项目经理应该知道的97件事","戴维斯 编","216","7.2","http://book.douban.com/subject/6559158/"
"软件调试修炼之道","Paul Butcher","158","7.6","http://book.douban.com/subject/6398127/"
"第一团队","朱瑛石","209","7.5","http://book.douban.com/subject/2381069/"
"互联网的未来","[美]乔纳森·齐特林","214","7.3","http://book.douban.com/subject/5939015/"
"高性能PHP应用开发","Armando Padilla","177","6.7","http://book.douban.com/subject/6902577/"
