"编写可读代码的艺术","Boswell, D.","240","8.7","http://book.douban.com/subject/10797189/"
"高性能网站建设指南","Steve Souders","9787121066191","8.6","http://book.douban.com/subject/3132277/"
"松本行弘的程序世界","松本行弘","389","8.4","http://book.douban.com/subject/6756090/"
"持续集成","","239","7.1","http://book.douban.com/subject/10769596/"
"实战Nginx","张宴","318","6.8","http://book.douban.com/subject/4251875/"
"代码大全（第2版）","[美] 史蒂夫·迈克康奈尔","944","9.3","http://book.douban.com/subject/1477390/"
"高性能网站建设进阶指南","Steve Souders","260","9.0","http://book.douban.com/subject/4719162/"
"黑客攻防技术宝典","Dafydd Stuttard","512","8.1","http://book.douban.com/subject/3870037/"
"中文版Photoshop CS5完全自学教程","李金明 李金荣","559","8.4","http://book.douban.com/subject/4863532/"
"精通CSS","Andy Budd","212","8.4","http://book.douban.com/subject/1898098/"
"Microsoft SQL Server 2008技术内幕：T-SQL语言基础","Itzik Ben-Gan","394","9.1","http://book.douban.com/subject/4047293/"
"程序员修炼之道","Andrew Hunt","333","8.7","http://book.douban.com/subject/1152111/"
"编译原理","Alfred V. Aho","631","9.2","http://book.douban.com/subject/3296317/"
".NET设计规范","Krzysztof Cwalina,","392","9.1","http://book.douban.com/subject/4805165/"
"深入SQL Server 2008","(美)沃尔特斯|译者","664","","http://book.douban.com/subject/6535502/"
"机器学习","(美)Tom Mitchell","282","8.4","http://book.douban.com/subject/1102235/"
"智能Web算法","Haralambos Marmanis","374","7.5","http://book.douban.com/subject/6545083/"
"C#与.NET 4高级程序设计（第5版）","[美] Andrew Troelsen","1197","9.0","http://book.douban.com/subject/6062550/"
"SEO实战密码","昝辉Zac","528","8.4","http://book.douban.com/subject/5348144/"
"重构与模式","科瑞夫福斯盖","295","7.9","http://book.douban.com/subject/5360962/"
"哥德尔、艾舍尔、巴赫","[美] 侯世达","1053","9.4","http://book.douban.com/subject/1291204/"
